date,location,sumConfirmed,sumRecovered,symptoms
"2020-03-21 00:00:00","United Kingdom",2366,0,90.41
"2020-03-21 00:00:00","United States",12208,0,62.96
"2020-03-22 00:00:00",Australia,545,38,80.34
"2020-03-22 00:00:00",Ireland,219,0,79.84
"2020-03-22 00:00:00","New Zealand",44,0,84.1
"2020-03-22 00:00:00","United Kingdom",2722,0,91.57
"2020-03-22 00:00:00","United States",15914,0,61.21
"2020-03-23 00:00:00",Australia,673,54,80.06
"2020-03-23 00:00:00",Ireland,204,0,78.94
"2020-03-23 00:00:00","New Zealand",41,0,73.67
"2020-03-23 00:00:00","United Kingdom",4578,0,80.7
"2020-03-23 00:00:00","United States",19094,0,62.96
"2020-03-24 00:00:00",Australia,784,32,73.79
"2020-03-24 00:00:00",Ireland,235,0,70.98
"2020-03-24 00:00:00","New Zealand",58,0,69.45
"2020-03-24 00:00:00","United Kingdom",4706,0,72.22
"2020-03-24 00:00:00","United States",19764,0,57.62
"2020-03-25 00:00:00",Australia,654,30,71.18
"2020-03-25 00:00:00",Ireland,255,0,66.12
"2020-03-25 00:00:00","New Zealand",84,0,66.56
"2020-03-25 00:00:00","United Kingdom",5332,0,71.92
"2020-03-25 00:00:00","United States",23199,4,56.83
"2020-03-26 00:00:00",Australia,737,42,65.02
"2020-03-26 00:00:00",Ireland,302,0,58.68
"2020-03-26 00:00:00","New Zealand",79,0,66.89
"2020-03-26 00:00:00","United Kingdom",6078,0,67.81
"2020-03-26 00:00:00","United States",31677,44,55.43
"2020-03-27 00:00:00",Australia,720,46,64.03
"2020-03-27 00:00:00",Ireland,294,0,57.31
"2020-03-27 00:00:00","New Zealand",75,0,65.89
"2020-03-27 00:00:00","United Kingdom",6308,0,71.74
"2020-03-27 00:00:00","United States",34464,89,53.91
"2020-03-28 00:00:00",Australia,905,38,61.11
"2020-03-28 00:00:00",Ireland,210,0,56.68
"2020-03-28 00:00:00","New Zealand",72,0,63.6
"2020-03-28 00:00:00","United Kingdom",5548,0,72.7
"2020-03-28 00:00:00","United States",35454,75,53.93
"2020-03-29 00:00:00",Australia,690,34,54.43
"2020-03-29 00:00:00",Ireland,285,0,54
"2020-03-29 00:00:00","New Zealand",74,0,64.74
"2020-03-29 00:00:00","United Kingdom",5636,0,66.18
"2020-03-29 00:00:00","United States",40860,110,49.35
"2020-03-30 00:00:00",Australia,535,136,50.04
"2020-03-30 00:00:00",Ireland,325,0,49.89
"2020-03-30 00:00:00","New Zealand",52,0,55.37
"2020-03-30 00:00:00","United Kingdom",8390,0,58.74
"2020-03-30 00:00:00","United States",32988,32,49.56
"2020-03-31 00:00:00",Australia,624,114,49.73
"2020-03-31 00:00:00",Ireland,212,0,47.93
"2020-03-31 00:00:00","New Zealand",77,0,51.45
"2020-03-31 00:00:00","United Kingdom",8926,0,54.89
"2020-03-31 00:00:00","United States",45206,100,49.01
"2020-04-01 00:00:00",Australia,609,148,48.73
"2020-04-01 00:00:00",Ireland,402,0,45.61
"2020-04-01 00:00:00","New Zealand",73,0,49.92
"2020-04-01 00:00:00","United Kingdom",9782,0,52.5
"2020-04-01 00:00:00","United States",48439,240,47.87
"2020-04-02 00:00:00",Australia,549,268,44.15
"2020-04-02 00:00:00",Ireland,424,0,43.85
"2020-04-02 00:00:00","New Zealand",82,0,50.01
"2020-04-02 00:00:00","United Kingdom",9648,0,49.59
"2020-04-02 00:00:00","United States",52660,162,47.78
"2020-04-03 00:00:00",Australia,452,130,42.25
"2020-04-03 00:00:00",Ireland,331,0,44.01
"2020-04-03 00:00:00","New Zealand",75,0,47.99
"2020-04-03 00:00:00","United Kingdom",9706,0,47.89
"2020-04-03 00:00:00","United States",58256,413,45.04
"2020-04-04 00:00:00",Australia,380,102,41.49
"2020-04-04 00:00:00",Ireland,390,0,41.68
"2020-04-04 00:00:00","New Zealand",77,0,45.7
"2020-04-04 00:00:00","United Kingdom",7952,0,48.89
"2020-04-04 00:00:00","United States",59653,484,43.11
"2020-04-05 00:00:00",Australia,279,256,43.63
"2020-04-05 00:00:00",Ireland,865,0,42.39
"2020-04-05 00:00:00","New Zealand",70,0,47.79
"2020-04-05 00:00:00","United Kingdom",7112,0,49.95
"2020-04-05 00:00:00","United States",47112,41,41.97
"2020-04-06 00:00:00",Australia,214,329,43.24
"2020-04-06 00:00:00",Ireland,365,0,41.83
"2020-04-06 00:00:00","New Zealand",53,0,46.37
"2020-04-06 00:00:00","United Kingdom",10546,0,50.32
"2020-04-06 00:00:00","United States",53038,411,41.98
"2020-04-07 00:00:00",Australia,232,234,40.81
"2020-04-07 00:00:00",Ireland,464,0,40.27
"2020-04-07 00:00:00","New Zealand",37,0,43.33
"2020-04-07 00:00:00","United Kingdom",10954,0,47.11
"2020-04-07 00:00:00","United States",55872,739,38.99
"2020-04-08 00:00:00",Australia,210,1872,36.8
"2020-04-08 00:00:00",Ireland,705,0,37.18
"2020-04-08 00:00:00","New Zealand",28,0,39.02
"2020-04-08 00:00:00","United Kingdom",10292,0,43.12
"2020-04-08 00:00:00","United States",58742,698,36.72
"2020-04-09 00:00:00",Australia,175,364,34.67
"2020-04-09 00:00:00",Ireland,696,0,35.89
"2020-04-09 00:00:00","New Zealand",44,0,37.81
"2020-04-09 00:00:00","United Kingdom",9750,0,40.07
"2020-04-09 00:00:00","United States",63574,1751,34.66
"2020-04-10 00:00:00",Australia,207,298,33.45
"2020-04-10 00:00:00",Ireland,839,0,34.09
"2020-04-10 00:00:00","New Zealand",27,0,39.11
"2020-04-10 00:00:00","United Kingdom",8654,0,39.43
"2020-04-10 00:00:00","United States",60784,1000,32.79
"2020-04-11 00:00:00",Australia,186,252,32.82
"2020-04-11 00:00:00",Ireland,727,0,33.4
"2020-04-11 00:00:00","New Zealand",25,0,38.39
"2020-04-11 00:00:00","United Kingdom",7170,0,36.95
"2020-04-11 00:00:00","United States",58205,1485,32.15
"2020-04-12 00:00:00",Australia,47,144,33.64
"2020-04-12 00:00:00",Ireland,992,0,34
"2020-04-12 00:00:00","New Zealand",20,0,39.43
"2020-04-12 00:00:00","United Kingdom",7014,0,37.21
"2020-04-12 00:00:00","United States",50783,621,30.14
"2020-04-13 00:00:00",Australia,90,320,35.34
"2020-04-13 00:00:00",Ireland,831,0,36.3
"2020-04-13 00:00:00","New Zealand",11,0,37.86
"2020-04-13 00:00:00","United Kingdom",8406,0,38.6
"2020-04-13 00:00:00","United States",45323,986,30.53
"2020-04-14 00:00:00",Australia,90,208,36.41
"2020-04-14 00:00:00",Ireland,1069,0,35.58
"2020-04-14 00:00:00","New Zealand",16,0,37.59
"2020-04-14 00:00:00","United Kingdom",8670,0,37.46
"2020-04-14 00:00:00","United States",48222,1322,29.95
"2020-04-15 00:00:00",Australia,85,178,36.36
"2020-04-15 00:00:00",Ireland,724,0,34.51
"2020-04-15 00:00:00","New Zealand",11,0,37.88
"2020-04-15 00:00:00","United Kingdom",10140,0,36.68
"2020-04-15 00:00:00","United States",51538,1459,29.17
"2020-04-16 00:00:00",Australia,54,120,33.95
"2020-04-16 00:00:00",Ireland,709,0,34.4
"2020-04-16 00:00:00","New Zealand",17,0,37.87
"2020-04-16 00:00:00","United Kingdom",10584,0,34.04
"2020-04-16 00:00:00","United States",58836,2408,29.15
"2020-04-17 00:00:00",Australia,102,139,32.34
"2020-04-17 00:00:00",Ireland,778,0,33.67
"2020-04-17 00:00:00","New Zealand",12,0,35.82
"2020-04-17 00:00:00","United Kingdom",9954,0,33.21
"2020-04-17 00:00:00","United States",57988,1414,28.11
"2020-04-18 00:00:00",Australia,84,690,31.22
"2020-04-18 00:00:00",Ireland,493,0,33.99
"2020-04-18 00:00:00","New Zealand",10,0,36.87
"2020-04-18 00:00:00","United Kingdom",9488,0,35.98
"2020-04-18 00:00:00","United States",51709,4525,27.41
"2020-04-19 00:00:00",Australia,86,128,32.43
"2020-04-19 00:00:00",Ireland,401,0,32.56
"2020-04-19 00:00:00","New Zealand",10,0,38.63
"2020-04-19 00:00:00","United Kingdom",7762,0,35.22
"2020-04-19 00:00:00","United States",50295,1602,27.15
"2020-04-20 00:00:00",Australia,26,76,32.24
"2020-04-20 00:00:00",Ireland,388,0,31.85
"2020-04-20 00:00:00","New Zealand",3,0,37.21
"2020-04-20 00:00:00","United Kingdom",8882,0,31.83
"2020-04-20 00:00:00","United States",48328,540,27.33
"2020-04-21 00:00:00",Australia,49,854,31.85
"2020-04-21 00:00:00",Ireland,631,0,32.32
"2020-04-21 00:00:00","New Zealand",6,0,35.69
"2020-04-21 00:00:00","United Kingdom",9590,0,30.65
"2020-04-21 00:00:00","United States",50299,1867,27.31
"2020-04-22 00:00:00",Australia,16,474,30.49
"2020-04-22 00:00:00",Ireland,936,0,31.99
"2020-04-22 00:00:00","New Zealand",5,0,37.03
"2020-04-22 00:00:00","United Kingdom",11034,0,30.46
"2020-04-22 00:00:00","United States",56561,3157,27.37
"2020-04-23 00:00:00",Australia,20,230,29.7
"2020-04-23 00:00:00",Ireland,577,0,30.21
"2020-04-23 00:00:00","New Zealand",5,0,35.67
"2020-04-23 00:00:00","United Kingdom",10334,0,29.66
"2020-04-23 00:00:00","United States",62005,1898,27.17
"2020-04-24 00:00:00",Australia,34,180,28.01
"2020-04-24 00:00:00",Ireland,377,0,29.59
"2020-04-24 00:00:00","New Zealand",6,0,32.54
"2020-04-24 00:00:00","United Kingdom",9922,0,27.32
"2020-04-24 00:00:00","United States",62746,2332,25.86
"2020-04-25 00:00:00",Australia,40,472,29.07
"2020-04-25 00:00:00",Ireland,701,0,29.18
"2020-04-25 00:00:00","New Zealand",6,0,33.36
"2020-04-25 00:00:00","United Kingdom",7514,0,28.48
"2020-04-25 00:00:00","United States",70971,7403,25.38
"2020-04-26 00:00:00",Australia,34,334,29.4
"2020-04-26 00:00:00",Ireland,386,0,30.96
"2020-04-26 00:00:00","New Zealand",3,0,34.06
"2020-04-26 00:00:00","United Kingdom",6952,0,30.57
"2020-04-26 00:00:00","United States",50986,1851,25.43
"2020-04-27 00:00:00",Australia,17,94,31.62
"2020-04-27 00:00:00",Ireland,229,0,35.3
"2020-04-27 00:00:00","New Zealand",3,0,39.72
"2020-04-27 00:00:00","United Kingdom",9478,0,35.17
"2020-04-27 00:00:00","United States",45176,3644,26.12
"2020-04-28 00:00:00",Australia,23,81,35.71
"2020-04-28 00:00:00",Ireland,376,0,43.45
"2020-04-28 00:00:00","New Zealand",1,0,43.1
"2020-04-28 00:00:00","United Kingdom",9438,0,37.95
"2020-04-28 00:00:00","United States",47741,1053,26.26
"2020-04-29 00:00:00",Australia,32,84,31.92
"2020-04-29 00:00:00",Ireland,359,0,35.24
"2020-04-29 00:00:00","New Zealand",2,0,40.57
"2020-04-29 00:00:00","United Kingdom",10866,0,32.45
"2020-04-29 00:00:00","United States",51061,2598,26.01
"2020-04-30 00:00:00",Australia,19,94,29.59
"2020-04-30 00:00:00",Ireland,221,0,31.97
"2020-04-30 00:00:00","New Zealand",3,0,35.11
"2020-04-30 00:00:00","United Kingdom",9922,0,29.72
"2020-04-30 00:00:00","United States",59014,2197,24.96
"2020-05-01 00:00:00",Australia,26,64,28.71
"2020-05-01 00:00:00",Ireland,343,0,28.11
"2020-05-01 00:00:00","New Zealand",6,0,32.74
"2020-05-01 00:00:00","United Kingdom",9532,0,28.12
"2020-05-01 00:00:00","United States",62339,2979,23.44
"2020-05-02 00:00:00",Australia,31,92,29.84
"2020-05-02 00:00:00",Ireland,330,0,28.4
"2020-05-02 00:00:00","New Zealand",2,0,33.52
